Customer_address,sex,age,job,type,Item_name,stock,price,count,brand_name-FK1,brand_name_FK2,shipping_date
부산,남,10,\N,\N,개폐면,9512,10000,3,써보레,오토스,2017.5.3 0:00
부산,남,40,학생,기타,옷걸이,4192,10000,2,내쇼날,창신,2017.3.2 0:00
대구,남,23,프로그래머,기타,휴지통,2100,10000,3,내쇼날,창신,2017.1.3 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
제주,남,35,고깃집사장,도매업,로프사다리,0,10000,79,아이지,서울금속,2018.5.1 0:00
대구,남,69,\N,\N,안경렌즈,6549,10000,2,오토스,명신광학,2017.4.2 0:00
서울,남,45,\N,\N,수동면,2152,10000,1,써보레,오토스,2017.6.1 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
대구,남,25,어부,도매업,로프사다리,0,10000,1,아이지,서울금속,2017.12.5 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,48,고깃집사장,소매업,테크트럭,2,10000,200,스마토핸드트럭,스마토캐스토,2018.2.1 0:00
서울,남,52,학생,기타,바스켓,7002,10000,1,내쇼날,창신,2017.3.1 0:00
제주,남,27,프로그래머,기타,건전지_망간,1400,10000,2,에너자이저,블루텍건전지,2017.1.2 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,70,고깃집사장,도매업,핸드카,3,10000,15,스마토핸드트럭,스마토캐스토,2018.1.1 0:00
부산,남,32,\N,\N,대피용마스크,5219,10000,1,크린탑,E편한,2017.7.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
대구,남,71,폰가게사장,도매업,다기능사다리,5,10000,59,아이지,서울금속,2017.9.1 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
제주,남,30,목수,도매업,캐스터_고무회전,14,10000,1,경창,스마토캐스토,2017.12.2 0:00
부산,남,88,\N,\N,황사마스크,1000,10000,1,크린탑,E편한,2017.8.1 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
대구,남,63,농부,도매업,캐스터_고무회전,14,10000,250,경창,스마토캐스토,2017.12.8 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
서울,남,21,폰가게사장,도매업,캐스터_고무브레이크,15,10000,1,경창,스마토캐스토,2017.1.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,37,폰가게사장,도매업,가정용사다리,0,10000,1,아이지,서울금속,2017.8.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
제주,남,59,고깃집사장,기타,과수용사다리,0,10000,1,아이지,서울금속,2018.7.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
부산,남,27,폰가게사장,도매업,캐스터_고무고정,10,10000,99,경창,스마토캐스토,2017.10.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
대구,남,50,폰가게사장,도매업,과수용사다리,0,10000,1,아이지,서울금속,2017.7.1 0:00
서울,남,34,\N,\N,경고등,1000,10000,2,에이스,미래안전,2017.8.2 0:00
제주,남,27,기자,기타,과수용사다리,0,10000,1,아이지,서울금속,2017.12.6 0:00
제주,남,27,기자,기타,과수용사다리,0,10000,1,아이지,서울금속,2017.12.6 0:00
