Customer_address,sex,age,job,type,Item_name,stock,price,count,brand_name_FK1,brand_name_FK2,shipping_date
부산,\N,\N,\N,\N,가스레인지,1000,10000,3,신일,파세코,2018.3.4 0:00
부산,\N,\N,\N,\N,공기청정기,1000,10000,3,신일,파세코,2018.3.5 0:00
부산,\N,\N,\N,\N,믹서기,1000,10000,3,신일,파세코,2018.3.6 0:00
부산,\N,\N,\N,\N,빙수기,1000,10000,3,신일,파세코,2018.3.7 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,41,고깃집사장,기타,충전지,18,10000,1,에너자이저,블루텍건전지,2018.3.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
제주,여,59,고깃집사장,도매업,리튬건전지,1005,10000,30,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
서울,여,66,고깃집사장,기타,리튬건전지,1005,10000,1,에너자이저,블루텍건전지,2018.4.1 0:00
대구,여,63,고깃집사장,도매업,건전지_알카라인,1200,10000,1,에너자이저,블루텍건전지,2017.1.1 0:00
제주,남,27,프로그래머,기타,건전지_망간,1400,10000,2,에너자이저,블루텍건전지,2017.1.2 0:00
서울,남,34,\N,\N,경고등,1000,10000,2,에이스,미래안전,2017.8.2 0:00
서울,여,44,\N,\N,경광등,1000,10000,3,에이스,미래안전,2017.8.3 0:00
부산,여,89,\N,\N,메가폰,1000,10000,1,에이스,미래안전,2017.9.1 0:00
제주,\N,\N,\N,\N,신호봉,1000,10000,2,에이스,미래안전,2017.9.2 0:00
부산,\N,\N,\N,\N,간판틀,1000,10000,1,신도산업,미래안전,2017.11.1 0:00
대구,\N,\N,\N,\N,걸이대,1000,10000,2,신도산업,미래안전,2017.11.2 0:00
제주,\N,\N,\N,\N,안전망,1000,10000,3,신도산업,미래안전,2017.11.3 0:00
서울,\N,\N,\N,\N,과속방지턱,1000,10000,1,신도산업,미래안전,2017.12.1 0:00
